PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
527163010.0,60.0,RL,75.0,10000.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6.0,5.0,1993.0,1994.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,763.0,763.0,GasA,Gd,Y,SBrkr,763.0,892.0,0.0,1655.0,0.0,0.0,2.0,1.0,3.0,1.0,TA,7.0,Typ,1.0,TA,Attchd,1993.0,Fin,2.0,440.0,TA,TA,Y,157.0,84.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,4.0,2010.0,WD ,Normal,175900.0
527165230.0,20.0,RL,68.0,7980.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6.0,7.0,1992.0,2007.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,Gd,PConc,Gd,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Ex,Y,SBrkr,1187.0,0.0,0.0,1187.0,1.0,0.0,2.0,0.0,3.0,1.0,TA,6.0,Typ,0.0,Gd,Attchd,1992.0,Fin,2.0,420.0,TA,TA,Y,483.0,21.0,0.0,0.0,0.0,0.0,Ex,GdPrv,Shed,500.0,3.0,2010.0,WD ,Normal,185000.0
527166040.0,60.0,RL,63.0,8402.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6.0,5.0,1998.0,1998.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,789.0,789.0,GasA,Gd,Y,SBrkr,789.0,676.0,0.0,1465.0,0.0,0.0,2.0,1.0,3.0,1.0,TA,7.0,Typ,1.0,Gd,Attchd,1998.0,Fin,2.0,393.0,TA,TA,Y,0.0,75.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,5.0,2010.0,WD ,Normal,180400.0
527180040.0,20.0,RL,85.0,10176.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7.0,5.0,1990.0,1990.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,PConc,Gd,TA,Gd,GLQ,637.0,Unf,0.0,663.0,1300.0,GasA,Gd,Y,SBrkr,1341.0,0.0,0.0,1341.0,1.0,0.0,1.0,1.0,2.0,1.0,Gd,5.0,Typ,1.0,Po,Attchd,1990.0,Unf,2.0,506.0,TA,TA,Y,192.0,0.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,2.0,2010.0,WD ,Normal,171500.0
527182190.0,120.0,RL,68.0,6820.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8.0,5.0,1985.0,1985.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,368.0,BLQ,1120.0,0.0,1488.0,GasA,TA,Y,SBrkr,1502.0,0.0,0.0,1502.0,1.0,0.0,1.0,1.0,1.0,1.0,Gd,4.0,Typ,0.0,Gd,Attchd,1985.0,RFn,2.0,528.0,TA,TA,Y,0.0,54.0,0.0,0.0,140.0,0.0,Ex,MnPrv,Shed,0.0,6.0,2010.0,WD ,Normal,212000.0
527216070.0,60.0,RL,47.0,53504.0,Pave,Grvl,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8.0,5.0,2003.0,2003.0,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,Ex,TA,PConc,Gd,TA,Gd,ALQ,1416.0,Unf,0.0,234.0,1650.0,GasA,Ex,Y,SBrkr,1690.0,1589.0,0.0,3279.0,1.0,0.0,3.0,1.0,4.0,1.0,Ex,12.0,Mod,1.0,Gd,BuiltIn,2003.0,Fin,3.0,841.0,TA,TA,Y,503.0,36.0,0.0,0.0,210.0,0.0,Ex,MnPrv,Shed,0.0,6.0,2010.0,WD ,Normal,538000.0
527225035.0,50.0,RL,152.0,12134.0,Pave,Grvl,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8.0,7.0,1988.0,2005.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,Gd,TA,Wood,Gd,TA,Av,GLQ,427.0,Unf,0.0,132.0,559.0,GasA,Gd,Y,SBrkr,1080.0,672.0,0.0,1752.0,0.0,0.0,2.0,0.0,4.0,1.0,TA,8.0,Typ,0.0,Gd,Basment,1988.0,RFn,2.0,492.0,TA,TA,Y,325.0,12.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,6.0,2010.0,WD ,Normal,164000.0
527258010.0,20.0,RL,88.0,11394.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9.0,2.0,2010.0,2010.0,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1445.0,Unf,0.0,411.0,1856.0,GasA,Ex,Y,SBrkr,1856.0,0.0,0.0,1856.0,1.0,0.0,1.0,1.0,1.0,1.0,Ex,8.0,Typ,1.0,Ex,Attchd,2010.0,Fin,3.0,834.0,TA,TA,Y,113.0,0.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,6.0,2010.0,New,Partial,394432.0
527276150.0,20.0,RL,140.0,19138.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4.0,5.0,1951.0,1951.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,LwQ,120.0,Unf,0.0,744.0,864.0,GasA,Ex,Y,SBrkr,864.0,0.0,0.0,864.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,Gd,Detchd,1951.0,Unf,2.0,400.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,6.0,2010.0,WD ,Normal,141000.0
527302110.0,20.0,RL,85.0,13175.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6.0,6.0,1978.0,1988.0,Gable,CompShg,Plywood,Plywood,Stone,119.0,TA,TA,CBlock,Gd,TA,No,ALQ,790.0,Rec,163.0,589.0,1542.0,GasA,TA,Y,SBrkr,2073.0,0.0,0.0,2073.0,1.0,0.0,2.0,0.0,3.0,1.0,TA,7.0,Min1,2.0,TA,Attchd,1978.0,Unf,2.0,500.0,TA,TA,Y,349.0,0.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,2.0,2010.0,WD ,Normal,210000.0
527358140.0,20.0,RL,105.0,11751.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6.0,6.0,1977.0,1977.0,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,TA,CBlock,Gd,TA,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,Ex,Y,SBrkr,1844.0,0.0,0.0,1844.0,0.0,0.0,2.0,0.0,3.0,1.0,TA,7.0,Typ,1.0,TA,Attchd,1977.0,RFn,2.0,546.0,TA,TA,Y,0.0,122.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,1.0,2010.0,COD,Normal,190000.0
527358200.0,85.0,RL,85.0,10625.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7.0,6.0,1974.0,1974.0,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,TA,TA,CBlock,Gd,TA,Gd,GLQ,885.0,LwQ,168.0,0.0,1053.0,GasA,TA,Y,SBrkr,1173.0,0.0,0.0,1173.0,1.0,0.0,2.0,0.0,3.0,1.0,Gd,6.0,Typ,2.0,TA,Attchd,1974.0,RFn,2.0,528.0,TA,TA,Y,0.0,120.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,1.0,2010.0,WD ,Family,170000.0
527368020.0,60.0,FV,68.0,7500.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7.0,5.0,2000.0,2000.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,533.0,Unf,0.0,281.0,814.0,GasA,Ex,Y,SBrkr,814.0,860.0,0.0,1674.0,1.0,0.0,2.0,1.0,3.0,1.0,Gd,7.0,Typ,0.0,Gd,Attchd,2000.0,RFn,2.0,663.0,TA,TA,Y,0.0,96.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,1.0,2010.0,WD ,Normal,216000.0
527402200.0,20.0,RL,68.0,11241.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6.0,7.0,1970.0,1970.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Ex,Y,SBrkr,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,5.0,Typ,1.0,TA,Attchd,1970.0,Fin,2.0,480.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,700.0,3.0,2010.0,WD ,Normal,149000.0
527402250.0,20.0,RL,68.0,12537.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1971.0,2008.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,GLQ,734.0,Unf,0.0,344.0,1078.0,GasA,Ex,Y,SBrkr,1078.0,0.0,0.0,1078.0,1.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,1.0,Fa,Attchd,1971.0,Fin,2.0,500.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,4.0,2010.0,WD ,Normal,149900.0
527403020.0,20.0,RL,65.0,8450.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5.0,6.0,1968.0,1968.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,BLQ,775.0,Unf,0.0,281.0,1056.0,GasA,Ex,Y,SBrkr,1056.0,0.0,0.0,1056.0,1.0,0.0,1.0,0.0,3.0,1.0,TA,6.0,Typ,1.0,Fa,Attchd,1968.0,Unf,1.0,304.0,TA,TA,Y,0.0,85.0,184.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,7.0,2010.0,WD ,Normal,142000.0
527404120.0,20.0,RL,70.0,8400.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4.0,5.0,1970.0,1970.0,Gable,CompShg,Plywood,Plywood,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,804.0,Rec,78.0,0.0,882.0,GasA,TA,Y,SBrkr,882.0,0.0,0.0,882.0,1.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,Gd,Attchd,1970.0,Fin,2.0,525.0,TA,TA,Y,240.0,0.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,4.0,2010.0,WD ,Normal,126000.0
527425090.0,20.0,RL,70.0,10500.0,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4.0,5.0,1971.0,1971.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,432.0,Unf,0.0,432.0,864.0,GasA,TA,Y,SBrkr,864.0,0.0,0.0,864.0,0.0,0.0,1.0,0.0,3.0,1.0,TA,5.0,Typ,1.0,Po,Attchd,1979.0,Unf,0.0,0.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,4.0,2010.0,ConLI,Normal,115000.0
527427230.0,120.0,RH,26.0,5858.0,Pave,Grvl,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7.0,5.0,1999.0,1999.0,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Ex,Y,SBrkr,1337.0,0.0,0.0,1337.0,1.0,0.0,2.0,0.0,2.0,1.0,Gd,5.0,Typ,1.0,Fa,Attchd,1999.0,Fin,2.0,511.0,TA,TA,Y,203.0,68.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,6.0,2010.0,WD ,Normal,184000.0
527451180.0,160.0,RM,21.0,1680.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6.0,5.0,1971.0,1971.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,TA,CBlock,TA,TA,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,TA,Y,SBrkr,483.0,504.0,0.0,987.0,0.0,0.0,1.0,1.0,2.0,1.0,TA,5.0,Typ,0.0,Gd,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,275.0,0.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,2.0,2010.0,COD,Normal,96000.0
527451330.0,160.0,RM,21.0,1680.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5.0,5.0,1971.0,1971.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525.0,567.0,0.0,1092.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,0.0,Gd,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,3.0,2010.0,WD ,Normal,105500.0
527451410.0,160.0,RM,21.0,1680.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6.0,5.0,1971.0,1971.0,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,525.0,525.0,GasA,TA,Y,SBrkr,525.0,567.0,0.0,1092.0,0.0,0.0,1.0,1.0,3.0,1.0,TA,6.0,Typ,0.0,Gd,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,3.0,2010.0,WD ,Family,88000.0
527452190.0,120.0,RL,53.0,4043.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6.0,5.0,1977.0,1977.0,Gable,CompShg,Plywood,Plywood,BrkFace,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,360.0,Unf,0.0,709.0,1069.0,GasA,TA,Y,SBrkr,1069.0,0.0,0.0,1069.0,0.0,0.0,2.0,0.0,2.0,1.0,TA,4.0,Typ,1.0,Fa,Attchd,1977.0,RFn,2.0,440.0,TA,TA,Y,0.0,55.0,0.0,0.0,165.0,0.0,Ex,MnPrv,Shed,0.0,7.0,2010.0,WD ,Normal,127500.0
527453130.0,160.0,RL,24.0,2280.0,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6.0,6.0,1975.0,1975.0,Gable,CompShg,Plywood,Brk Cmn,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,514.0,Unf,0.0,341.0,855.0,GasA,TA,Y,SBrkr,855.0,601.0,0.0,1456.0,0.0,0.0,2.0,1.0,3.0,1.0,Gd,6.0,Typ,1.0,TA,Attchd,1975.0,Unf,2.0,440.0,TA,TA,Y,173.0,0.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,6.0,2010.0,WD ,Normal,149900.0
527453150.0,120.0,RL,24.0,2280.0,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7.0,6.0,1975.0,1975.0,Gable,CompShg,Plywood,Brk Cmn,BrkFace,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,836.0,836.0,GasA,Ex,Y,SBrkr,836.0,0.0,0.0,836.0,0.0,0.0,1.0,0.0,2.0,1.0,TA,4.0,Typ,0.0,Gd,Attchd,1975.0,Unf,1.0,308.0,TA,TA,Y,0.0,30.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,6.0,2010.0,WD ,Normal,120000.0
527454200.0,160.0,RL,24.0,2280.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6.0,5.0,1978.0,1978.0,Gable,CompShg,Plywood,Brk Cmn,BrkFace,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,311.0,Unf,0.0,544.0,855.0,GasA,Fa,Y,SBrkr,855.0,601.0,0.0,1456.0,0.0,0.0,2.0,1.0,3.0,1.0,TA,7.0,Typ,1.0,TA,Attchd,1978.0,Unf,2.0,440.0,TA,TA,Y,26.0,0.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,7.0,2010.0,WD ,Normal,146000.0
528108120.0,60.0,RL,102.0,12858.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9.0,5.0,2009.0,2010.0,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1590.0,1590.0,GasA,Ex,Y,SBrkr,1627.0,707.0,0.0,2334.0,0.0,0.0,2.0,1.0,3.0,1.0,Ex,10.0,Typ,1.0,Gd,Attchd,2009.0,Fin,3.0,751.0,TA,TA,Y,144.0,133.0,0.0,0.0,0.0,0.0,Ex,MnPrv,Shed,0.0,1.0,2010.0,New,Partial,376162.0
